DID;DID_SIZE;Read;Write;Variable
0116;2;True;False;[{'DID_VAR_NAME': 'Vxx_dcm_gn_io_rt_cnd', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_0116_Vxx_dcm_gn_io_rt_cnd', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwiox1_A/DataServices_Vxx_dcm_gn_io_rt_cnd'}]
0191;1;True;False;[{'DID_VAR_NAME': 'Vbx_hvrlyp1_req', 'BIT_OFFSET': '0'}]
0192;1;True;False;[{'DID_VAR_NAME': 'Vbx_hvrlyp2_req', 'BIT_OFFSET': '0'}]
01E3;10;True;False;[{'DID_VAR_NAME': 'Vxt_ecu_typ_rst', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_01E3_Vxt_ecu_typ_rst', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwiox8_A/DataServices_Vxt_ecu_typ_rst'}]
01E4;40;True;False;[{'DID_VAR_NAME': 'Vxt_vh_dist_ecu_rst', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_01E4_Vxt_vh_dist_ecu_rst', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwiox8_A/DataServices_Vxt_vh_dist_ecu_rst'}]
01E8;1;True;False;[{'DID_VAR_NAME': 'Vbx_ign_key', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_01E8_Vbx_ign_key', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwiox8_A/DataServices_Vbx_ign_key'}]
01F0;2;True;False;[{'DID_VAR_NAME': 'Vxx_vh_spd', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_01F0_Vxx_vh_spd', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwiox8_A/DataServices_Vxx_vh_spd'}]
0239;1;True;False;[{'DID_VAR_NAME': 'Vbx_oil_prs_warn', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_0239_Vbx_oil_prs_warn', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwio10_A/DataServices_Vbx_oil_prs_warn'}]
02C2;1;True;False;[{'DID_VAR_NAME': 'Vbx_hvrlya_req', 'BIT_OFFSET': '0'}]
02D3;1;True;False;[{'DID_VAR_NAME': 'Vnx_vh_stt', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_02D3_Vnx_vh_stt', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwio15_A/DataServices_Vnx_vh_stt'}]
0319;1;True;False;[{'DID_VAR_NAME': 'Vbx_bms_refu_slp', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_0319_Vbx_bms_refu_slp', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwio17_A/DataServices_Vbx_bms_refu_slp'}]
0355;1;True;False;[{'DID_VAR_NAME': 'Vnx_dem_pfc_cyc_qlf', 'BIT_OFFSET': '0', 'TARGET-REF': '/AUTOSAR_Dcm/SwComponentTypes/Dcm/DataServices_DCM_DID_0355_Vnx_dem_pfc_cyc_qlf', 'TARGET-P-PORT-REF': '/ARRoot/SwComponentTypes/a_AW01_MWXX_DI0_700rwio19_A/DataServices_Vnx_dem_pfc_cyc_qlf'}]
